2024-03-25 21:06:15,203 - INFO - Args parsed succesfully
2024-03-25 21:06:15,203 - INFO - Params: Namespace(emotion_transform_prob=0.8, epochs=100, exp_name='AugmentedEmotion', net_name='resnet50')
2024-03-25 21:06:15,755 - INFO - Model was initialized and sent to cuda:0
2024-03-25 21:06:17,722 - INFO - All data has been loaded
2024-03-25 21:06:17,723 - INFO - DataLoaders initialized
2024-03-25 21:06:17,723 - INFO - HyperParams initiliazed, starting training...
2024-03-25 23:30:54,417 - INFO - 	 In epoch number 40, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 163.82 secs
2024-03-25 23:34:14,044 - INFO - Epoch: 40 | Loss: 0.0003 | Training accuracy: 98.854% | Validation accuracy: 65.088% | Epoch Time: 363.44 secs
2024-03-25 23:34:16,590 - INFO - 	 In epoch number 41, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.85 secs
2024-03-25 23:35:38,835 - INFO - 	 In epoch number 41, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 83.10 secs
2024-03-25 23:37:00,016 - INFO - 	 In epoch number 41, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 164.28 secs
2024-03-25 23:37:19,260 - INFO - Finished epoch number 41 | Loss: 0.00047218537295086075 | Epoch Time: 183.5213007926941
2024-03-25 23:37:20,114 - INFO - 	 In epoch number 42, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.85 secs
2024-03-25 23:38:42,468 - INFO - 	 In epoch number 42, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 83.21 secs
2024-03-25 23:40:02,900 - INFO - 	 In epoch number 42, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 163.64 secs
2024-03-25 23:40:22,371 - INFO - Finished epoch number 42 | Loss: 0.0004172442863260659 | Epoch Time: 183.11056089401245
2024-03-25 23:40:23,196 - INFO - 	 In epoch number 43, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.82 secs
2024-03-25 23:41:44,390 - INFO - 	 In epoch number 43, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.02 secs
2024-03-25 23:43:06,279 - INFO - 	 In epoch number 43, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 163.91 secs
2024-03-25 23:43:25,338 - INFO - Finished epoch number 43 | Loss: 0.0005037136493953575 | Epoch Time: 182.96559524536133
2024-03-25 23:43:26,201 - INFO - 	 In epoch number 44, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.86 secs
2024-03-25 23:44:47,199 - INFO - 	 In epoch number 44, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 81.86 secs
2024-03-25 23:46:09,633 - INFO - 	 In epoch number 44, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 164.29 secs
2024-03-25 23:46:28,889 - INFO - Finished epoch number 44 | Loss: 0.0005974884435722371 | Epoch Time: 183.55099630355835
2024-03-25 23:46:29,760 - INFO - 	 In epoch number 45, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.87 secs
2024-03-25 23:47:51,514 - INFO - 	 In epoch number 45, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.62 secs
2024-03-25 23:49:14,564 - INFO - 	 In epoch number 45, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 165.67 secs
2024-03-25 23:52:35,486 - INFO - Epoch: 45 | Loss: 0.0007 | Training accuracy: 97.307% | Validation accuracy: 64.809% | Epoch Time: 366.60 secs
2024-03-25 23:52:37,754 - INFO - 	 In epoch number 46, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.85 secs
2024-03-25 23:53:59,128 - INFO - 	 In epoch number 46, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.22 secs
2024-03-25 23:55:19,850 - INFO - 	 In epoch number 46, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 162.94 secs
2024-03-25 23:55:38,938 - INFO - Finished epoch number 46 | Loss: 0.0007334101501770654 | Epoch Time: 182.02974796295166
2024-03-25 23:55:39,772 - INFO - 	 In epoch number 47, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.83 secs
2024-03-25 23:57:02,771 - INFO - 	 In epoch number 47, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 83.83 secs
2024-03-25 23:58:24,663 - INFO - 	 In epoch number 47, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 165.72 secs
2024-03-25 23:58:43,662 - INFO - Finished epoch number 47 | Loss: 0.0008062720776934033 | Epoch Time: 184.72392749786377
2024-03-25 23:58:44,474 - INFO - 	 In epoch number 48, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.81 secs
2024-03-26 00:00:06,079 - INFO - 	 In epoch number 48, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.42 secs
2024-03-26 00:01:28,535 - INFO - 	 In epoch number 48, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 164.87 secs
2024-03-26 00:01:47,593 - INFO - Finished epoch number 48 | Loss: 0.0008994653075388463 | Epoch Time: 183.93000030517578
2024-03-26 00:01:48,463 - INFO - 	 In epoch number 49, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.87 secs
2024-03-26 00:03:10,843 - INFO - 	 In epoch number 49, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 83.25 secs
