2024-03-25 20:24:25,156 - INFO - Args parsed succesfully
2024-03-25 20:24:25,157 - INFO - Params: Namespace(emotion_transform_prob=0.0, epochs=100, exp_name='Regular', net_name='resnet50')
2024-03-25 20:24:25,739 - INFO - Model was initialized and sent to cuda:0
2024-03-25 20:24:27,543 - INFO - All data has been loaded
2024-03-25 20:24:27,545 - INFO - DataLoaders initialized
2024-03-25 20:24:27,545 - INFO - HyperParams initiliazed, starting training...
2024-03-25 20:32:15,733 - INFO - Finished epoch number 17 | Loss: 0.0004515027949608765 | Epoch Time: 23.540462017059326
2024-03-25 20:32:15,842 - INFO - 	 In epoch number 18, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.11 secs
2024-03-25 20:32:26,369 - INFO - 	 In epoch number 18, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.64 secs
2024-03-25 20:32:36,938 - INFO - 	 In epoch number 18, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.20 secs
2024-03-25 20:32:39,424 - INFO - Finished epoch number 18 | Loss: 0.00034222466636081486 | Epoch Time: 23.689589977264404
2024-03-25 20:32:39,532 - INFO - 	 In epoch number 19, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.11 secs
2024-03-25 20:32:50,103 - INFO - 	 In epoch number 19, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.68 secs
2024-03-25 20:33:00,627 - INFO - 	 In epoch number 19, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.20 secs
2024-03-25 20:33:03,135 - INFO - Finished epoch number 19 | Loss: 0.00027748324135171447 | Epoch Time: 23.710015296936035
2024-03-25 20:33:03,241 - INFO - 	 In epoch number 20, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.11 secs
2024-03-25 20:33:13,792 - INFO - 	 In epoch number 20, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.66 secs
2024-03-25 20:33:24,367 - INFO - 	 In epoch number 20, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.23 secs
